Threshold,Precision,Recall,F1_Score,Total_Cost,Captured_Churners,Missed_Churners
0.815,0.9245283018867925,0.24078624078624078,0.3820662768031189,319200.0,98,309
0.82,0.92,0.22604422604422605,0.3629191321499014,324600.0,92,315
0.825,0.9175257731958762,0.21867321867321868,0.3531746031746032,327300.0,89,318
0.83,0.9263157894736842,0.21621621621621623,0.350597609561753,328150.0,88,319
0.835,0.9247311827956989,0.2113022113022113,0.344,329950.0,86,321
0.84,0.9222222222222223,0.20393120393120392,0.33400402414486924,332650.0,83,324
0.845,0.9213483146067416,0.20147420147420148,0.33064516129032256,333550.0,82,325
0.8499999999999999,0.9213483146067416,0.20147420147420148,0.33064516129032256,333550.0,82,325
0.8549999999999999,0.9213483146067416,0.20147420147420148,0.33064516129032256,333550.0,82,325
0.8599999999999999,0.9285714285714286,0.19164619164619165,0.31771894093686354,337100.0,78,329
0.8649999999999999,0.9493670886075949,0.18427518427518427,0.30864197530864196,339700.0,75,332
0.8699999999999999,0.9487179487179487,0.18181818181818182,0.30515463917525776,340600.0,74,333
0.8749999999999999,0.958904109589041,0.171990171990172,0.2916666666666667,344150.0,70,337
0.8799999999999999,0.9714285714285714,0.16707616707616707,0.2851153039832285,345900.0,68,339
0.8849999999999999,1.0,0.16707616707616707,0.2863157894736842,345800.0,68,339
0.8899999999999999,1.0,0.1597051597051597,0.2754237288135593,348500.0,65,342
0.8949999999999999,1.0,0.1547911547911548,0.2680851063829787,350300.0,63,344
0.8999999999999999,1.0,0.14987714987714987,0.2606837606837607,352100.0,61,346
0.9049999999999999,1.0,0.14496314496314497,0.2532188841201717,353900.0,59,348
0.9099999999999999,1.0,0.13267813267813267,0.23427331887201736,358400.0,54,353
0.9149999999999999,1.0,0.12530712530712532,0.22270742358078602,361100.0,51,356
0.9199999999999999,1.0,0.12039312039312039,0.2149122807017544,362900.0,49,358
0.9249999999999999,1.0,0.11302211302211303,0.20309050772626933,365600.0,46,361
0.9299999999999999,1.0,0.11056511056511056,0.19911504424778761,366500.0,45,362
0.9349999999999999,1.0,0.09582309582309582,0.17488789237668162,371900.0,39,368
0.94,1.0,0.07616707616707617,0.1415525114155251,379100.0,31,376
0.945,1.0,0.07371007371007371,0.13729977116704806,380000.0,30,377
0.95,1.0,0.06142506142506143,0.11574074074074074,384500.0,25,382
